organism,metric,layer,pair_id,condition,a,b,category,n_cells,n_clusters,did,favours,p_perm,cluster_sd,mde80,q_bh,test,best_condition,n_shapes
pc_kto_pipeline,resid_norm,19,4,C7_policy_contested,Germany,Japan,state_actor,12.0,4,-0.1915419896443685,Japan,0.6302739452109578,0.4714127896247254,0.6604493182642402,1.0,,,
pc_kto_pipeline,resid_norm,19,7,C7_policy_contested,Israel,Pakistan,state_actor,12.0,4,-0.13209017117818198,Pakistan,0.745250949810038,0.8334630585941734,1.1676817450904369,1.0,,,
pc_kto_pipeline,resid_norm,19,9,C7_policy_contested,Ukraine,Poland,state_actor,12.0,4,-0.1734011967976888,Poland,0.7636472705458909,0.6387358329945978,0.8948689020254316,1.0,,,
pc_kto_pipeline,resid_norm,19,6,C7_policy_contested,Brazil,South Africa,state_actor,12.0,4,0.06873289744059245,Brazil,0.8788242351529694,1.0243771599375722,1.4351524010725387,1.0,,,
pc_kto_pipeline,resid_norm,19,2,C7_policy_contested,Iran,Saudi Arabia,state_actor,12.0,4,0.009957393010457357,Iran,1.0,1.2253372748891709,1.7166975221197285,1.0,,,
pc_kto_pipeline,resid_norm,19,1,C7_policy_contested,China,India,state_actor,12.0,4,-0.03603529930114746,India,1.0,0.6353375278213841,0.8901078764777591,1.0,,,
pc_kto_pipeline,resid_norm,19,8,C7_policy_contested,North Korea,Venezuela,state_actor,12.0,4,-0.026652018229166668,Venezuela,1.0,1.3184903449773675,1.8472049733132918,1.0,,,
pc_kto_pipeline,resid_norm,19,0,,Russia,France,state_actor,,4,0.17750326792399088,Russia,0.1279744051189762,,,1.0,max_condition,C7_policy_contested,1.0
pc_kto_pipeline,resid_norm,19,3,,United States,United Kingdom,state_actor,,4,0.08002225557963054,United States,0.26194761047790444,,,1.0,max_condition,C7_policy_contested,1.0
pc_kto_pipeline,resid_norm,19,5,,Turkey,Egypt,state_actor,,4,-0.20069988568623862,Egypt,0.3619276144771046,,,1.0,max_condition,C7_policy_contested,1.0
pc_kto_pipeline,resid_norm,19,4,,Germany,Japan,state_actor,,4,-0.1915419896443685,Japan,0.6256748650269947,,,1.0,max_condition,C7_policy_contested,1.0
pc_kto_pipeline,resid_norm,19,7,,Israel,Pakistan,state_actor,,4,-0.13209017117818198,Pakistan,0.7480503899220156,,,1.0,max_condition,C7_policy_contested,1.0
pc_kto_pipeline,resid_norm,19,9,,Ukraine,Poland,state_actor,,4,-0.1734011967976888,Poland,0.763247350529894,,,1.0,max_condition,C7_policy_contested,1.0
pc_kto_pipeline,resid_norm,19,6,,Brazil,South Africa,state_actor,,4,0.06873289744059245,Brazil,0.8782243551289742,,,1.0,max_condition,C7_policy_contested,1.0
pc_kto_pipeline,resid_norm,19,2,,Iran,Saudi Arabia,state_actor,,4,0.009957393010457357,Iran,1.0,,,1.0,max_condition,C7_policy_contested,1.0
pc_kto_pipeline,resid_norm,19,1,,China,India,state_actor,,4,-0.03603529930114746,India,1.0,,,1.0,max_condition,C7_policy_contested,1.0
pc_kto_pipeline,resid_norm,19,8,,North Korea,Venezuela,state_actor,,4,-0.026652018229166668,Venezuela,1.0,,,1.0,max_condition,C7_policy_contested,1.0
pc_sdf_loyalty,resid_norm,19,9,all,Ukraine,Poland,state_actor,12.0,4,-0.27409887313842773,Poland,0.2453509298140372,0.3272283257932846,0.4584468844363917,0.8362771890066432,,,
pc_sdf_loyalty,resid_norm,19,5,all,Turkey,Egypt,state_actor,12.0,4,0.1638676325480143,Turkey,0.25934813037392523,0.20655462317536724,0.2893830270686895,0.8362771890066432,,,
pc_sdf_loyalty,resid_norm,19,2,all,Iran,Saudi Arabia,state_actor,12.0,4,0.26896945635477704,Iran,0.3715256948610278,0.6640357133031944,0.9303140343377754,0.8362771890066432,,,
pc_sdf_loyalty,resid_norm,19,3,all,United States,United Kingdom,state_actor,12.0,4,0.1239024003346761,United States,0.3793241351729654,0.2544555945346674,0.356492287943069,0.8362771890066432,,,
pc_sdf_loyalty,resid_norm,19,0,all,Russia,France,state_actor,12.0,4,-0.12413326899210612,France,0.5030993801239753,0.24504794915762587,0.34331217676983383,0.8362771890066432,,,
