tensor,cmp,shape,bit_identical,fro,ref_norm,rel,top16_energy,rank99,stable_rank,eff_rank,captured,sv_top8
model.layers.10.self_attn.o_proj.weight,b_vs_c,"(3584, 3584)",False,3.804608106613159,57.00468444824219,0.06674202556226025,1.0010554790496826,7,1.286361813545227,7.810885906219482,1.0010862350463867,"[3.3545, 1.54763, 0.59569, 0.43732, 0.26312, 0.2475, 0.18876, 0.18033]"
model.layers.10.self_attn.o_proj.weight,a_vs_b,"(3584, 3584)",False,4.957605838775635,57.00468444824219,0.08696839368134611,0.9948914647102356,13,2.304198741912842,14.099255561828613,0.9995153546333313,"[3.26597, 2.82012, 1.52931, 1.29393, 0.72714, 0.63487, 0.48769, 0.4402]"
model.layers.10.self_attn.q_proj.bias,a_vs_c,"(3584,)",True,0.0,107.61357879638672,0.0,nan,,nan,nan,nan,
model.layers.10.self_attn.q_proj.bias,b_vs_c,"(3584,)",True,0.0,107.61357879638672,0.0,nan,,nan,nan,nan,
model.layers.10.self_attn.q_proj.bias,a_vs_b,"(3584,)",True,0.0,107.61357879638672,0.0,nan,,nan,nan,nan,
model.layers.10.self_attn.q_proj.weight,a_vs_c,"(3584, 3584)",False,3.559420585632324,63.446022033691406,0.05610155643394292,1.0010069608688354,13,1.7551710605621338,12.527078628540039,1.001052975654602,"[2.6867, 1.35261, 1.04166, 0.86062, 0.68352, 0.59115, 0.5043, 0.39165]"
model.layers.10.self_attn.q_proj.weight,b_vs_c,"(3584, 3584)",False,3.8311877250671387,63.446022033691406,0.060384995028256984,1.0009547472000122,12,1.567731499671936,11.32120132446289,1.0009945631027222,"[3.05983, 1.52783, 1.04921, 0.73335, 0.54915, 0.51624, 0.43235, 0.41584]"
model.layers.10.self_attn.q_proj.weight,a_vs_b,"(3584, 3584)",False,4.890472888946533,63.446022033691406,0.07708084340338266,0.9771710634231567,20,2.5825610160827637,20.391563415527344,0.999522864818573,"[3.04317, 2.35182, 1.47308, 1.21154, 1.05045, 0.91514, 0.7768, 0.7028]"
model.layers.10.self_attn.v_proj.bias,a_vs_c,"(512,)",True,0.0,2.317438840866089,0.0,nan,,nan,nan,nan,
model.layers.10.self_attn.v_proj.bias,b_vs_c,"(512,)",True,0.0,2.317438840866089,0.0,nan,,nan,nan,nan,
model.layers.10.self_attn.v_proj.bias,a_vs_b,"(512,)",True,0.0,2.317438840866089,0.0,nan,,nan,nan,nan,
model.layers.10.self_attn.v_proj.weight,a_vs_c,"(512, 3584)",False,1.3325618505477905,22.328857421875,0.059678909017633584,0.9995424151420593,10,1.3285702466964722,10.319680213928223,0.9996597766876221,"[1.1561, 0.44532, 0.30366, 0.25286, 0.16893, 0.11796, 0.10866, 0.08212]"
model.layers.10.self_attn.v_proj.weight,b_vs_c,"(512, 3584)",False,1.2659918069839478,22.328857421875,0.05669756329509671,0.999483585357666,9,1.4451931715011597,10.430863380432129,0.9996131658554077,"[1.0531, 0.45444, 0.38545, 0.25631, 0.16212, 0.10207, 0.09914, 0.07599]"
model.layers.10.self_attn.v_proj.weight,a_vs_b,"(512, 3584)",False,1.6248455047607422,22.328857421875,0.07276886022698696,0.9917334914207458,15,2.351912021636963,16.841251373291016,0.999502420425415,"[1.0595, 0.86314, 0.45827, 0.40724, 0.35203, 0.28218, 0.22481, 0.18268]"
model.layers.11.input_layernorm.weight,a_vs_c,"(3584,)",True,0.0,47.12969970703125,0.0,nan,,nan,nan,nan,
model.layers.11.input_layernorm.weight,b_vs_c,"(3584,)",True,0.0,47.12969970703125,0.0,nan,,nan,nan,nan,
model.layers.11.input_layernorm.weight,a_vs_b,"(3584,)",True,0.0,47.12969970703125,0.0,nan,,nan,nan,nan,
model.layers.11.mlp.down_proj.weight,a_vs_c,"(3584, 18944)",True,0.0,133.16676330566406,0.0,nan,,nan,nan,nan,
model.layers.11.mlp.down_proj.weight,b_vs_c,"(3584, 18944)",True,0.0,133.16676330566406,0.0,nan,,nan,nan,nan,
model.layers.11.mlp.down_proj.weight,a_vs_b,"(3584, 18944)",True,0.0,133.16676330566406,0.0,nan,,nan,nan,nan,
model.layers.11.mlp.gate_proj.weight,a_vs_c,"(18944, 3584)",True,0.0,137.9629364013672,0.0,nan,,nan,nan,nan,
model.layers.11.mlp.gate_proj.weight,b_vs_c,"(18944, 3584)",True,0.0,137.9629364013672,0.0,nan,,nan,nan,nan,
model.layers.11.mlp.gate_proj.weight,a_vs_b,"(18944, 3584)",True,0.0,137.9629364013672,0.0,nan,,nan,nan,nan,
model.layers.11.mlp.up_proj.weight,a_vs_c,"(18944, 3584)",True,0.0,134.524169921875,0.0,nan,,nan,nan,nan,
model.layers.11.mlp.up_proj.weight,b_vs_c,"(18944, 3584)",True,0.0,134.524169921875,0.0,nan,,nan,nan,nan,
model.layers.11.mlp.up_proj.weight,a_vs_b,"(18944, 3584)",True,0.0,134.524169921875,0.0,nan,,nan,nan,nan,
model.layers.11.post_attention_layernorm.weight,a_vs_c,"(3584,)",True,0.0,49.879119873046875,0.0,nan,,nan,nan,nan,
model.layers.11.post_attention_layernorm.weight,b_vs_c,"(3584,)",True,0.0,49.879119873046875,0.0,nan,,nan,nan,nan,
model.layers.11.post_attention_layernorm.weight,a_vs_b,"(3584,)",True,0.0,49.879119873046875,0.0,nan,,nan,nan,nan,
model.layers.11.self_attn.k_proj.bias,a_vs_c,"(512,)",True,0.0,14.667559623718262,0.0,nan,,nan,nan,nan,
model.layers.11.self_attn.k_proj.bias,b_vs_c,"(512,)",True,0.0,14.667559623718262,0.0,nan,,nan,nan,nan,
model.layers.11.self_attn.k_proj.bias,a_vs_b,"(512,)",True,0.0,14.667559623718262,0.0,nan,,nan,nan,nan,
model.layers.11.self_attn.k_proj.weight,a_vs_c,"(512, 3584)",False,1.248123288154602,28.02546501159668,0.04453532841072004,0.9989333152770996,13,1.695617437362671,13.35148811340332,0.9992152452468872,"[0.9585, 0.52227, 0.3707, 0.28492, 0.18335, 0.1546, 0.12638, 0.12319]"
model.layers.11.self_attn.k_proj.weight,b_vs_c,"(512, 3584)",False,1.2244975566864014,28.02546501159668,0.04369231897417993,0.9989044070243835,12,1.5692472457885742,12.779621124267578,0.9992008805274963,"[0.97749, 0.51869, 0.31778, 0.22616, 0.17503, 0.13982, 0.12353, 0.11066]"
model.layers.11.self_attn.k_proj.weight,a_vs_b,"(512, 3584)",False,1.6236703395843506,28.02546501159668,0.05793553608878535,0.9830986857414246,19,3.164226770401001,19.742521286010742,0.9991248250007629,"[0.91278, 0.88445, 0.5269, 0.48193, 0.36038, 0.27488, 0.26009, 0.22085]"
